item	frequency	suggested_level2	match_type	final_level2
함흥비빔냉면	1	Not Defined	not_defined	
함흥물냉면	1	Not Defined	not_defined	
보리굴비 정식	1	생선	guessed	
땡초치킨	1	Not Defined	not_defined	
사골우거지해장국	1	잎 채소	guessed	
바른과일	1	단 과일	guessed	
바게트	1	Not Defined	not_defined	
냉수육	1	돼지고기	guessed	
소시지 치아바타 샌드위치	1	가공육	guessed	
훈둔탕	1	Not Defined	not_defined	
가지세우볶음	1	열매 채소	guessed	
아나고 회	1	Not Defined	not_defined	
버서서두부	1	콩류	guessed	
오리덮밥	1	Not Defined	not_defined	
황태 해장국	1	생선	guessed	
구운 야채	1	Not Defined	not_defined	
구운아채	1	Not Defined	not_defined	
버섯토마토	1	열매 채소	guessed	
일본식 샤브샤브	1	Not Defined	not_defined	
소고기 탕수육	1	소고기	guessed	
복칼국수	1	Not Defined	not_defined	
닭볶음탕	1	Not Defined	not_defined	
전복치	1	조개류	guessed	
고추장 돼지 두루치기	1	고추장	guessed	
단팥빵	1	Not Defined	not_defined	
돼지 짜글이	1	Not Defined	not_defined	
소갈비찜	1	소고기	guessed	
유자치즈	1	기타 과일	guessed	
광어회덮밥	1	생선	guessed	
스테이크 덮밥	1	Not Defined	not_defined	
소고기 짬뽕탕	1	소고기	guessed	
감자 튀김	1	뿌리 채소	guessed	
과일샐러드	1	단 과일	guessed	
베이커너견과류	1	견과류	guessed	
불짜장	1	Not Defined	not_defined	
공고기	1	기타 육류	guessed	
훠궈	1	Not Defined	not_defined	
버서서주부	1	Not Defined	not_defined	
손두부	1	콩류	guessed	
꼬막비빔밥	1	조개류	guessed	
갈비살	1	소고기	guessed	
치마살	1	Not Defined	not_defined	
순두부 백반	1	콩류	guessed	
빅파이	1	Not Defined	not_defined	
사천탕수육	1	돼지고기	guessed	
쵸코 아이스크림	1	기타 유제품|설탕	guessed	
육회낙지	1	연체류	guessed	
버섯두부소고기무국	1	소고기	guessed	
두부보쌈	1	콩류	guessed	
고등어조림	1	생선	guessed	
업진살	1	Not Defined	not_defined	
계란 소고기 전	1	소고기	guessed	
김마끼	1	Not Defined	not_defined	
귤 아이스크림	1	기타 유제품|설탕	guessed	
짜장 떡볶이	1	Not Defined	not_defined	
버섯두부샐러드	1	콩류	guessed	
새알 미역국	1	해조류	guessed	
광어회	1	생선	guessed	
아이스크림(와일드바디)	1	기타 유제품|설탕	guessed	
관자구이	1	조개류	guessed	
토마토 스파게티	1	밀	guessed	
봉골래 스파게티	1	밀	guessed	
호박 샐러드	1	열매 채소	guessed	
버섯 두부 샐러드	1	콩류	guessed	
자장면	1	Not Defined	not_defined	
게살 샐러드	1	갑각류	guessed	
센드위치	1	Not Defined	not_defined	
오뚜기 짜장라면	1	밀	guessed	
팔보채만두	1	밀|돼지고기|잎 채소	guessed	
버섯불고기전골	1	기타 육류	guessed	
미나리찌개	1	잎 채소	guessed	
소고기 안심	1	소고기	guessed	
닭다리구이	1	Not Defined	not_defined	
카스타드	1	Not Defined	not_defined	
숯불닭구이	1	Not Defined	not_defined	
갑자조림	1	Not Defined	not_defined	
티라미슈 케익	1	밀|설탕|기름	guessed	
머리고기	1	기타 육류	guessed	
핫앤사워스프	1	야채 육수	guessed	
추석 튀김	1	Not Defined	not_defined	
몽셸통통	1	Not Defined	not_defined	
치즈케익	1	치즈	guessed	
해물전	1	Not Defined	not_defined	
타워버거	1	Not Defined	not_defined	
육칼국수	1	Not Defined	not_defined	
깍두기	1	Not Defined	not_defined	
쭈꾸미찜	1	연체류	guessed	
케사이다	1	Not Defined	not_defined	
소고기 스끼야끼	1	소고기	guessed	
코다리찌개	1	생선	guessed	
병아리콩셀러드	1	콩류	guessed	
우렁된장	1	된장	guessed	
소고기미역국	1	소고기	guessed	
차례음식	1	Not Defined	not_defined	
된장국에 밥	1	된장	guessed	
프레즐	1	Not Defined	not_defined	
맛살꼬치	1	Not Defined	not_defined	
감자 죽순 된장국	1	뿌리 채소	guessed	
대파해장국	1	줄기 채소	guessed	
비빔밥야채	1	Not Defined	not_defined	
성심당 튀긴소보루	1	Not Defined	not_defined	
쵸코 크로아상	1	Not Defined	not_defined	
돌솥비빔밥 고명만	1	기타	guessed	
고등어김치조림	1	생선	guessed	
참치샐러드	1	생선	guessed	
보쌈.쭈꾸미	1	연체류	guessed	
오돌뻐	1	Not Defined	not_defined	
볶음 우동	1	Not Defined	not_defined	
제사밥	1	Not Defined	not_defined	
복숭아 빙수	1	단 과일	guessed	
올갱이 해장국	1	기타해산물	guessed	
돈까스 샐러드	1	Not Defined	not_defined	
쥐포튀김	1	생선	guessed	
상추절이	1	잎 채소	guessed	
파인애플리조또	1	단 과일	guessed	
올갱이해장국	1	기타해산물	guessed	
김칫국	1	Not Defined	not_defined	
돼지목살	1	Not Defined	not_defined	
돼지갈비살	1	돼지고기	guessed	
토마토소스 스파게티	1	기타 소스	guessed	
등갈비김치찌개	1	소고기	guessed	
칠리새우 샐러드	1	갑각류	guessed	
우삼겹비지찌개	1	콩류	guessed	
돈가스	1	Not Defined	not_defined	
자몽빙수	1	기타 과일	guessed	
파무침	1	Not Defined	not_defined	
마늘김치찌개	1	잎 채소|고추|마늘|소금|기타 소스	guessed	
오리고기 야채볶음	1	오리고기	guessed	
돼지/소 수육	1	돼지고기	guessed	
소고기 야채볶음	1	소고기	guessed	
설럴탕	1	Not Defined	not_defined	
어묵전골	1	생선|밀	guessed	
파닭	1	Not Defined	not_defined	
맛동산	1	Not Defined	not_defined	
홈런볼	1	Not Defined	not_defined	
오예스	1	Not Defined	not_defined	
치즈샐러드	1	치즈	guessed	
돼지갈비찜	1	돼지고기	guessed	
걧잎	1	Not Defined	not_defined	
구운 계란	1	계란	guessed	
쭈꾸미 연포탕	1	연체류	guessed	
차동짬뽕국물	1	Not Defined	not_defined	
오징어까스	1	연체류	guessed	
맛탕	1	Not Defined	not_defined	
산적	1	Not Defined	not_defined	
오리전골	1	Not Defined	not_defined	
복까스	1	Not Defined	not_defined	
복회무침	1	Not Defined	not_defined	
우렁된장찌개	1	된장	guessed	
프랜치프라이	1	Not Defined	not_defined	
돈갈비백탕	1	소고기	guessed	
찹쌀탕수육	1	돼지고기	guessed	
마라우육	1	Not Defined	not_defined	
버섯야채볶음	1	버섯	guessed	
돼지목살스테이크	1	Not Defined	not_defined	
버섯탕	1	버섯	guessed	
생크림 케익	1	기타 유제품	guessed	
토마토소스 미트볼	1	기타 소스	guessed	
장터국밥	1	Not Defined	not_defined	
보양꼬리곰탕	1	Not Defined	not_defined	
포토	1	Not Defined	not_defined	
딸기쨈	1	베리류	guessed	
생선전골	1	생선	guessed	
크림소스 스테이크	1	기타 소스|기타 유제품	guessed	
소고기 들깨탕	1	소고기	guessed	
설탕 토스트	1	설탕	guessed	
순대국 특	1	가공육|전분	guessed	
굴미역국	1	해조류	guessed	
우거지탕	1	잎 채소	guessed	
회 정식	1	Not Defined	not_defined	
보리굴비정식	1	생선	guessed	
일식 정식	1	Not Defined	not_defined	
돼지고기 수육	1	돼지고기	guessed	
전복회	1	조개류	guessed	
오리샤브샤브	1	Not Defined	not_defined	
갈비고기	1	소고기	guessed	
미니우동	1	Not Defined	not_defined	
들기름막국수	1	기름	guessed	
인도카레	1	카레	guessed	
팔진탕면 면빼고	1	Not Defined	not_defined	
굴밥정식	1	Not Defined	not_defined	
완탕과 수교면	1	Not Defined	not_defined	
사천탕면 국물	1	Not Defined	not_defined	
베트남 음식	1	Not Defined	not_defined	
인도 음식	1	Not Defined	not_defined	
우육탕면 국물	1	Not Defined	not_defined	
돼지 앞다리살	1	Not Defined	not_defined	
프렌치 코스	1	Not Defined	not_defined	
마늘보쌈	1	마늘	guessed	
꼬막정식	1	조개류	guessed	
몽골리안비프	1	Not Defined	not_defined	
새우볶음밥	1	갑각류	guessed	
돈까스 정식	1	Not Defined	not_defined	
제육복음	1	Not Defined	not_defined	
상가집 음식	1	Not Defined	not_defined	
불고기 황태 정식	1	기타 육류	guessed	
중국식 우동(국물)	1	Not Defined	not_defined	
팥죽	1	Not Defined	not_defined	
야채 프랜치 토스트	1	Not Defined	not_defined	
물 막국수	1	Not Defined	not_defined	
마라우육탕	1	Not Defined	not_defined	
참치 야채죽	1	생선	guessed	
돼지보쌈	1	Not Defined	not_defined	
치킨탕수	1	Not Defined	not_defined	
부대찌게	1	Not Defined	not_defined	
망고 빙수	1	단 과일	guessed	
미역국 백반	1	해조류	guessed	
인스턴트	1	Not Defined	not_defined	
soup	1	Not Defined	not_defined	
salad	1	Not Defined	not_defined	
서브웨이 샌드위치 투고	1	Not Defined	not_defined	
삼선짬뽕밥	1	Not Defined	not_defined	
라뽂기	1	Not Defined	not_defined	
wing	1	Not Defined	not_defined	
케사디야	1	Not Defined	not_defined	
파지타	1	Not Defined	not_defined	
버섯탕수	1	버섯	guessed	
스파이시튜나 비빔밥	1	Not Defined	not_defined	
훈제연어	1	생선	guessed	
훠거	1	Not Defined	not_defined	
돈까스 - 옛날	1	Not Defined	not_defined	
냉면 - 물	1	Not Defined	not_defined	
탕수육 - 매운	1	돼지고기	guessed	
막국수 - 들기름	1	기름	guessed	
도다리세꼬시	1	생선	guessed	
